"FileName","Hash"
"C:\Windows\System32\BdeHdCfgLib.dll","9B63D322781AEF98D429AECE09249F8B"
"C:\Windows\System32\bderepair.dll","ADF5EFC6A6DF55A66A82E5145C495B99"
"C:\Windows\System32\bdesvc.dll","20CDEDDAA8576E873A7835B3FBCCC128"
"C:\Windows\System32\BdeSysprep.dll","6C09E0783B276C7FF7123ACBA5DFD96B"
"C:\Windows\System32\bdeui.dll","2C8E5B6D0F7D02B0A6FEA06F93CAD4C8"
"C:\Windows\System32\BdeUISrv.exe","1E5BEA3BBDA2D7BD0EA7BB239961B7A1"
"C:\Windows\System32\bdeunlock.exe","FEF5D67150C249DB3C1F4B30A2A5A22E"
"C:\Windows\System32\BFE.DLL","E64677E9BE47E2A376EC7BE57C7172BA"
"C:\Windows\System32\bi.dll","27F7F3675F965E0F199C64D7643DC85D"
"C:\Windows\System32\bidispl.dll","4CB7B557D8A831A08385037A78507D80"
"C:\Windows\System32\bindfltapi.dll","881B6878AB6238AB9821255C89EC61F8"
"C:\Windows\System32\BingASDS.dll","54A91B73859C834F6C4D9C218AA74FA4"
"C:\Windows\System32\BingFilterDS.dll","49C550C44B4770EEA99FCD9C090B36F2"
"C:\Windows\System32\BingMaps.dll","D0E12507528B31819255E336FC41C63B"
"C:\Windows\System32\BingOnlineServices.dll","F4461F6AB932433BEC695E927C9A8884"
"C:\Windows\System32\BioCredProv.dll","E0957FFB9E2D71CE411E33AA449AB02C"
"C:\Windows\System32\BioIso.exe","A6CF19D44ED3E7B17CF1568577DED266"
"C:\Windows\System32\bisrv.dll","49319DB881D83455C5833317FA47C512"
"C:\Windows\System32\BitLockerCsp.dll","34FA6AA939A714340AB220E19BF8A199"
"C:\Windows\System32\BitLockerDeviceEncryption.exe","5887B5CA2EBF9B220BB509C0264E2961"
"C:\Windows\System32\BitLockerWizard.exe","0FF9F7C79BB52F73A694AAEDFB86C1E7"
"C:\Windows\System32\BitLockerWizardElev.exe","9A32F938847A559CC0B69D11559946A8"
"C:\Windows\System32\bitsadmin.exe","01AAB62D5799F75B0D69EB29C1CA6855"
"C:\Windows\System32\bitsigd.dll","BED89488D42711C178091E59550729CE"
"C:\Windows\System32\bitsperf.dll","46C76A50ABA5FB6C398BC85297E065AD"
"C:\Windows\System32\BitsProxy.dll","B3E2BAEAD079C29BC16CAA7830A17FA6"
"C:\Windows\System32\biwinrt.dll","54FE01064F173D3DAAF7E7A9D9388DCB"
"C:\Windows\System32\BlbEvents.dll","31B5040254E636587C7C9B20B702752F"
"C:\Windows\System32\blbres.dll","DF5A7A6D0383A49EB1A8F92A82B4320E"
"C:\Windows\System32\blb_ps.dll","B60FE8188B8F7FB14009787CCBDBA472"
"C:\Windows\System32\BluetoothApis.dll","4D94B748F43986885AB86FF33FAD6F6A"
"C:\Windows\System32\BluetoothDesktopHandlers.dll","952AA76096C1DC82042F01CC5E96FC0E"
"C:\Windows\System32\BluetoothPairingSystemToastIcon.contrast-black.png","705628497C0012302212A46ADD463E6E"
"C:\Windows\System32\BluetoothPairingSystemToastIcon.contrast-high.png","F63C615733A3337BF2BEA96C6EE9B568"
"C:\Windows\System32\BluetoothPairingSystemToastIcon.contrast-white.png","705628497C0012302212A46ADD463E6E"
"C:\Windows\System32\BluetoothPairingSystemToastIcon.png","DAF1DCB4AEE839A1965F4CC160C49A53"
"C:\Windows\System32\BluetoothSystemToastIcon.contrast-white.png","28ECA83D7F9D10D69E969675D1FF6725"
"C:\Windows\System32\BluetoothSystemToastIcon.png","A620186FF1CDE4EE117FC4CAD648B9CC"
"C:\Windows\System32\bnmanager.dll","537CE320E30A29B39AEAAD34837F0FB8"
"C:\Windows\System32\boot.sdi","22D9945B4AAE36DD59620A918F2E65F4"
"C:\Windows\System32\bootcfg.exe","EC92EDA497062006DCFC1D200DFD8C97"
"C:\Windows\System32\bootim.exe","9E65F3BF408CC580BED4ECB0D91AC58D"
"C:\Windows\System32\BootMenuUX.dll","F18035945A275F59681473F521AA4B18"
"C:\Windows\System32\bootsect.exe","4A59BDA770A1683A7BC5A913EA1D74AB"
